codi_barri ,size
1,11
2, 81.6
3, 109.5
4,111
5, 92.9
6, 104.2
7,212
8, 122.8
9, 134.1
10, 80.4
11, 458.5
12, 1403.4
13, 126.9
14, 29.7
15,41
16, 57.2
17, 41.5
18, 109.5
19,141
20, 191.5
21, 268.5
22, 1132.9
23, 304.7
24, 78.8
25, 223.4
26, 166.9
27, 84.8
28, 125.1
29, 35.3
30, 64.8
31, 132.1
32, 65.1
33, 56.2
34, 38.4
35, 130.9
36, 65.7
37,94
38, 33.8
39, 168.1
40, 205.5
41, 74.5
42, 17.8
43,307
44, 56.4
45, 83.7
46, 35.4
47, 11.9
48, 61.2
49,79
50, 64.3
51, 23.7
52, 59.1
53, 57.7
54, 174.2
55, 37.7
56, 60.8
57, 80.8
58,23
59, 186.5
60, 186.7
61, 98.6
62, 40.9
63, 42.4
64, 74.1
65, 69.7
66, 112.2
67, 92.5
68, 156.7
69, 120.3
70, 118.5
71, 108.6
72, 73.4
73, 112.7
